team,fifa_rank,fifa_points
Argentina,3,1874.81
Spain,2,1876.4
France,3,1870.7
England,4,1825.97
Portugal,5,1767.85
Brazil,6,1765.86
Netherlands,8,1753.57
Morocco,8,1755.87
Belgium,9,1742.24
Germany,10,1735.77
Croatia,11,1717.07
Colombia,13,1698.35
Senegal,15,1684.07
Mexico,14,1687.48
United States,16,1673.13
Uruguay,17,1673.07
Japan,18,1660.43
Switzerland,19,1649.4
Iran,20,1619.58
Turkey,22,1605.73
Ecuador,23,1598.52
Austria,24,1597.4
South Korea,25,1588.66
Australia,27,1580.67
Algeria,28,1571.03
Egypt,29,1563.24
Canada,30,1556.48
Norway,31,1557.44
Ivory Coast,33,1540.87
Panama,33,1540.64
Sweden,38,1509.79
Paraguay,40,1503.5
Czech Republic,40,1505.74
Scotland,42,1503.34
Tunisia,45,1476.41
DR Congo,46,1474.43
Uzbekistan,50,1458.73
Qatar,56,1450.31
Iraq,57,1447.14
South Africa,60,1429.73
Saudi Arabia,61,1421.43
Jordan,63,1387.74
Bosnia and Herzegovina,65,1385.84
Cape Verde,67,1371.11
Ghana,74,1346.31
Curacao,82,1294.65
Haiti,83,1291.71
New Zealand,85,1275.58
