team,squad_market_value_eur
Afghanistan,625000.0
Albania,131500000.0
Algeria,253800000.0
Andorra,800000.0
Angola,63500000.0
Antigua and Barbuda,1375000.0
Argentina,959000000.0
Armenia,46650000.0
Aruba,1575000.0
Australia,51750000.0
Austria,319500000.0
Azerbaijan,11200000.0
Bahrain,300000.0
Bangladesh,5000000.0
Barbados,625000.0
Belarus,13400000.0
Belgium,633000000.0
Benin,16600000.0
Bermuda,900000.0
Bolivia,5800000.0
Bonaire,500000.0
Bosnia and Herzegovina,115800000.0
Brazil,1243000000.0
Brunei Darussalam,175000.0
Bulgaria,38600000.0
Burkina Faso,107500000.0
Burundi,10700000.0
Cameroon,241700000.0
Canada,175550000.0
Cape Verde,63150000.0
Central African Republic,13300000.0
Chad,2450000.0
Chile,66300000.0
China,6910000.0
Chinese Taipei,950000.0
Colombia,317500000.0
Comoros,19325000.0
Congo,21450000.0
Costa Rica,38175000.0
Croatia,365500000.0
Cuba,2100000.0
Curacao,30975000.0
Cyprus,19000000.0
Czech Republic,171500000.0
DR Congo,149500000.0
Denmark,498000000.0
Dominican Republic,21000000.0
Ecuador,334100000.0
Egypt,133400000.0
El Salvador,1300000.0
England,1665000000.0
Equatorial Guinea,16525000.0
Eritrea,1450000.0
Estonia,8500000.0
Ethiopia,775000.0
Faroe Islands,2200000.0
Finland,40450000.0
France,1630000000.0
French Guiana,3850000.0
Gabon,40575000.0
Georgia,179300000.0
Germany,1096000000.0
Ghana,306700000.0
Greece,267000000.0
Grenada,4250000.0
Guadeloupe,15525000.0
Guatemala,1700000.0
Guinea,99500000.0
Guinea-Bissau,73000000.0
Guyana,1250000.0
Haiti,56300000.0
Honduras,15400000.0
Hungary,173850000.0
Iceland,110100000.0
India,25000.0
Indonesia,27825000.0
Iran,41750000.0
Iraq,10600000.0
Ireland,209000000.0
Israel,64000000.0
Italy,909000000.0
Ivory Coast,467500000.0
Jamaica,79950000.0
Japan,304500000.0
Jordan,6600000.0
Kazakhstan,11475000.0
Kenya,25675000.0
"Korea, North",400000.0
Kosovo,79200000.0
Kyrgyzstan,800000.0
Laos,200000.0
Latvia,10825000.0
Lebanon,1400000.0
Liberia,3825000.0
Libya,9400000.0
Liechtenstein,475000.0
Lithuania,13800000.0
Luxembourg,32825000.0
Macao,150000.0
Madagascar,12725000.0
Malawi,375000.0
Malaysia,2350000.0
Mali,163600000.0
Malta,6350000.0
Martinique,15600000.0
Mauritania,14675000.0
Mauritius,150000.0
Mexico,177500000.0
Moldova,12075000.0
Monaco,50000.0
Montenegro,51450000.0
Montserrat,1600000.0
Morocco,518000000.0
Mozambique,24775000.0
Netherlands,1024000000.0
Neukaledonien,650000.0
New Caledonia,5000000.0
New Zealand,28825000.0
Nicaragua,150000.0
Niger,4750000.0
Nigeria,405000000.0
North Macedonia,46600000.0
Northern Ireland,81200000.0
Norway,550000000.0
Oman,250000.0
Pakistan,150000.0
Palestine,2900000.0
Panama,19875000.0
Papua New Guinea,300000.0
Paraguay,145000000.0
Peru,33050000.0
Philippines,4000000.0
Poland,232000000.0
Portugal,1109000000.0
Qatar,12075000.0
Romania,100000000.0
Russia,248500000.0
Rwanda,2875000.0
Réunion,150000.0
Saint-Martin,550000.0
San Marino,50000.0
Sao Tome and Principe,700000.0
Saudi Arabia,9075000.0
Scotland,281500000.0
Senegal,435500000.0
Serbia,355000000.0
Seychelles,75000.0
Sierra Leone,8810000.0
Sint Maarten,350000.0
Slovakia,126500000.0
Slovenia,136900000.0
Somalia,25000.0
South Africa,31275000.0
South Korea,115575000.0
Southern Sudan,150000.0
Spain,1165000000.0
St. Kitts & Nevis,1175000.0
St. Lucia,375000.0
Suriname,49200000.0
Sweden,575500000.0
Switzerland,321200000.0
Syria,8050000.0
Tahiti,400000.0
Tajikistan,1950000.0
Tanzania,4600000.0
Thailand,2650000.0
The Gambia,76000000.0
Togo,31225000.0
Trinidad and Tobago,12750000.0
Tunisia,68600000.0
Turkey,447500000.0
Turkmenistan,100000.0
Uganda,4225000.0
Ukraine,384500000.0
United Arab Emirates,300000.0
United States,425000000.0
Uruguay,522000000.0
Uzbekistan,61425000.0
Venezuela,56900000.0
Vietnam,550000.0
Wales,194500000.0
Zambia,50200000.0
Zimbabwe,30575000.0
